pr_auc,model_iteration
0.31724863,Random Forest
0.30068679,Random Forest
0.31391079,Random Forest
0.55535777,Random Forest
0.23273378,Random Forest
0.2838223,Random Forest
0.45753197,Random Forest
0.32298838,Random Forest
0.38171869,Random Forest
0.38105611,Random Forest
0.25740368,Random Forest
0.20825763,Random Forest
0.20304822,Random Forest
0.18747422,Random Forest
0.27355541,Random Forest
0.38527405,Random Forest
0.47870747,Random Forest
0.24429769,Random Forest
0.43573437,Random Forest
0.47849182,Random Forest
0.41547643,Random Forest
0.36628873,Random Forest
0.28922566,Random Forest
0.36311585,Random Forest
0.27001888,Random Forest
0.5021387,Balanced RFC
0.42448654,Balanced RFC
0.49636061,Balanced RFC
0.57303895,Balanced RFC
0.29440318,Balanced RFC
0.33414759,Balanced RFC
0.64754343,Balanced RFC
0.46734442,Balanced RFC
0.49306464,Balanced RFC
0.43808285,Balanced RFC
0.30855019,Balanced RFC
0.25445705,Balanced RFC
0.24450144,Balanced RFC
0.21494119,Balanced RFC
0.38105669,Balanced RFC
0.53237124,Balanced RFC
0.46752809,Balanced RFC
0.28467918,Balanced RFC
0.55962218,Balanced RFC
0.56255662,Balanced RFC
0.48659741,Balanced RFC
0.50317071,Balanced RFC
0.32908783,Balanced RFC
0.39823442,Balanced RFC
0.27141581,Balanced RFC
0.713773095,RoBERTa -1
0.64289402,RoBERTa -1
0.588290247,RoBERTa -1
0.550124589,RoBERTa -1
0.579218961,RoBERTa -1
0.659022079,RoBERTa -1
0.690179947,RoBERTa -1
0.478316531,RoBERTa -1
0.686921665,RoBERTa -1
0.523136399,RoBERTa -1
0.521324886,RoBERTa -1
0.702498178,RoBERTa -1
0.693937943,RoBERTa -1
0.365778814,RoBERTa -1
0.76434642,RoBERTa -1
0.71527047,RoBERTa -1
0.63378393,RoBERTa -1
0.593147613,RoBERTa -1
0.580527559,RoBERTa -1
0.80040048,RoBERTa -1
0.66864506,RoBERTa -1
0.674959648,RoBERTa -1
0.699388017,RoBERTa -1
0.559672846,RoBERTa -1
0.625890173,RoBERTa -1
0.758037339,RoBERTa -2
0.736332644,RoBERTa -2
0.604460904,RoBERTa -2
0.698747039,RoBERTa -2
0.724024584,RoBERTa -2
0.659090673,RoBERTa -2
0.677929833,RoBERTa -2
0.591406384,RoBERTa -2
0.831739873,RoBERTa -2
0.68491091,RoBERTa -2
0.611744223,RoBERTa -2
0.686711478,RoBERTa -2
0.682027873,RoBERTa -2
0.579269981,RoBERTa -2
0.804303182,RoBERTa -2
0.776483706,RoBERTa -2
0.562607832,RoBERTa -2
0.766749763,RoBERTa -2
0.698358094,RoBERTa -2
0.824808562,RoBERTa -2
0.779370901,RoBERTa -2
0.787790728,RoBERTa -2
0.687000991,RoBERTa -2
0.526268059,RoBERTa -2
0.725312846,RoBERTa -2
0.754292755,RoBERTa -3
0.829838039,RoBERTa -3
0.614371986,RoBERTa -3
0.733141575,RoBERTa -3
0.617200968,RoBERTa -3
0.644876974,RoBERTa -3
0.703585105,RoBERTa -3
0.435804631,RoBERTa -3
0.793545165,RoBERTa -3
0.7438625,RoBERTa -3
0.669975445,RoBERTa -3
0.679287969,RoBERTa -3
0.784388019,RoBERTa -3
0.735569699,RoBERTa -3
0.777806156,RoBERTa -3
0.675623892,RoBERTa -3
0.652030471,RoBERTa -3
0.57893385,RoBERTa -3
0.702115132,RoBERTa -3
0.829374363,RoBERTa -3
0.830220375,RoBERTa -3
0.733175226,RoBERTa -3
0.828615924,RoBERTa -3
0.448820106,RoBERTa -3
0.638109593,RoBERTa -3